filename,optimal,optimizerOnly,topDown,bottomUp,euclidean,horizontal,hop,topDownPlus,bottomUpPlus,euclideanPlus,horizontalPlus,hopPlus
coast-n35-r0-s-5013995466868426345.json,114,114,119,114,114,120,120,114,114,114,114,114
coast-n35-r1-s9157198120406614623.json,110,114,116,114,118,118,116,114,114,114,114,114
coast-n35-r2-s5840930912313687631.json,111,111,163,112,114,123,128,111,111,111,111,111
coast-n35-r3-s-3668721473601085579.json,145,145,152,145,145,151,152,145,145,145,145,145
coast-n35-r4-s1366435223448741313.json,189,189,211,191,191,207,209,191,189,189,189,189
coast-n35-r5-s3561711560546787690.json,140,140,181,140,140,157,154,140,140,140,140,140
coast-n35-r6-s5887712648313437491.json,115,115,160,115,115,127,125,115,115,115,115,115
coast-n35-r7-s-7552446059988885172.json,142,142,176,142,144,145,147,142,142,142,142,144
coast-n35-r8-s-229352131725306972.json,122,122,144,123,127,134,133,122,122,122,124,123
coast-n35-r9-s-3466677631057524513.json,167,167,179,167,168,183,175,167,167,167,167,167
coast-n40-r0-s-5028867824408518089.json,224,226,259,227,227,261,256,226,226,226,226,226
coast-n40-r1-s411588754582458831.json,115,115,142,115,116,120,119,115,115,115,115,115
coast-n40-r2-s8288385764484271288.json,112,112,128,112,117,119,119,112,112,112,112,112
coast-n40-r3-s-2921253008344135902.json,137,141,163,140,141,146,151,141,140,140,140,140
coast-n40-r4-s7488828594838425231.json,154,154,177,154,154,160,160,154,154,154,154,154
coast-n40-r5-s4596372347972036458.json,221,221,237,222,221,236,232,221,221,221,221,221
coast-n40-r6-s-8747184784460496663.json,92,92,99,93,94,98,97,92,93,93,92,92
coast-n40-r7-s3427327285231549752.json,134,134,149,134,134,150,148,134,134,134,134,134
coast-n40-r8-s-7384630835012497603.json,227,227,247,227,228,258,253,227,227,227,227,227
coast-n40-r9-s-4158492083279985546.json,195,196,209,195,196,205,204,195,195,195,196,195
coast-n45-r0-s-5037130244786906026.json,316,316,473,316,319,359,354,316,316,316,316,316
coast-n45-r1-s-2397444879181054479.json,275,275,323,275,277,290,281,275,275,275,275,275
coast-n45-r2-s5548806440414165063.json,148,148,191,150,152,172,166,148,148,148,148,148
coast-n45-r3-s-4555630980757443738.json,193,193,206,193,194,204,204,193,193,193,193,193
coast-n45-r4-s4741243550556205939.json,230,230,280,230,242,245,245,230,230,230,230,230
coast-n45-r5-s-7126645488794726834.json,203,203,259,204,204,221,219,203,203,203,203,203
coast-n45-r6-s7717975404813401053.json,289,289,357,289,291,324,320,289,289,289,289,289
coast-n45-r7-s-720989783287981324.json,164,164,213,165,164,173,170,164,164,164,164,164
coast-n45-r8-s-1111594517633967357.json,230,230,242,230,231,238,239,230,230,230,230,230
coast-n45-r9-s-4542833444194141465.json,284,284,325,285,287,325,319,284,284,284,284,284
coast-n50-r0-s-4985903243594861576.json,247,247,264,248,250,265,261,247,248,247,247,247
coast-n50-r1-s-7117529218541884335.json,345,347,391,346,347,363,361,346,346,346,346,346
